filepaths,labels,data set
train/AFRICAN CROWNED CRANE/024.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/025.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/026.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/027.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/028.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/029.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/030.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/031.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/032.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/033.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/034.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/035.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/036.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/037.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/038.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/039.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/040.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/041.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/042.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/043.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/044.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/045.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/046.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/047.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/048.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/049.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/050.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/051.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/052.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/053.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/054.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/055.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/056.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/057.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/058.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/059.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/061.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/062.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/063.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/064.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/065.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/066.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/067.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/068.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/069.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/070.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/071.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/072.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/073.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/074.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/075.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/076.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/077.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/078.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/079.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/080.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/081.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/082.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/083.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/084.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/085.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/086.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/087.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/088.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/089.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/090.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/091.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/092.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/093.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/094.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/095.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/096.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/097.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/098.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/099.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/100.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/101.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/102.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/103.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/104.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/105.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/106.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/107.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/108.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/109.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/110.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/112.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/113.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/114.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/115.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/116.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/118.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/119.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/120.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/121.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/122.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/123.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/124.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/125.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/126.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/127.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/128.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/129.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/130.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/131.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/132.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/133.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/134.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/135.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/136.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/137.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/138.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/139.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN CROWNED CRANE/140.jpg,AFRICAN CROWNED CRANE,train
train/AFRICAN FIREFINCH/001.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/002.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/003.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/004.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/005.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/006.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/007.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/008.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/009.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/010.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/011.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/012.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/013.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/014.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/015.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/016.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/017.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/018.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/019.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/020.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/021.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/022.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/023.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/024.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/025.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/026.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/027.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/028.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/029.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/030.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/031.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/032.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/033.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/034.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/035.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/036.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/037.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/038.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/039.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/040.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/041.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/042.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/043.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/044.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/045.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/046.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/047.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/048.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/049.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/050.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/051.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/052.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/053.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/054.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/055.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/056.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/057.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/058.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/059.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/060.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/061.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/062.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/063.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/064.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/065.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/066.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/067.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/068.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/069.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/070.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/071.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/072.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/073.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/074.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/075.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/076.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/077.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/078.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/079.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/080.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/081.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/082.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/083.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/084.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/085.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/086.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/087.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/088.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/089.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/090.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/091.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/092.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/093.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/094.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/095.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/096.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/097.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/098.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/099.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/100.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/101.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/102.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/103.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/104.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/105.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/106.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/107.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/108.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/109.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/110.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/111.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/112.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/113.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/114.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/115.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/116.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/117.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/118.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/119.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/120.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/121.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/122.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/123.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/124.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/125.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/126.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/127.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/128.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/129.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/130.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/131.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/132.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/133.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/134.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/135.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/136.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/137.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/138.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/139.jpg,AFRICAN FIREFINCH,train
train/AFRICAN FIREFINCH/140.jpg,AFRICAN FIREFINCH,train
train/ALBATROSS/001.jpg,ALBATROSS,train
train/ALBATROSS/002.jpg,ALBATROSS,train
train/ALBATROSS/003.jpg,ALBATROSS,train
train/ALBATROSS/004.jpg,ALBATROSS,train
train/ALBATROSS/005.jpg,ALBATROSS,train
train/ALBATROSS/006.jpg,ALBATROSS,train
train/ALBATROSS/007.jpg,ALBATROSS,train
train/ALBATROSS/008.jpg,ALBATROSS,train
train/ALBATROSS/009.jpg,ALBATROSS,train
train/ALBATROSS/010.jpg,ALBATROSS,train
train/ALBATROSS/011.jpg,ALBATROSS,train
train/ALBATROSS/012.jpg,ALBATROSS,train
train/ALBATROSS/013.jpg,ALBATROSS,train
train/ALBATROSS/014.jpg,ALBATROSS,train
train/ALBATROSS/015.jpg,ALBATROSS,train
train/ALBATROSS/016.jpg,ALBATROSS,train
train/ALBATROSS/017.jpg,ALBATROSS,train
train/ALBATROSS/018.jpg,ALBATROSS,train
train/ALBATROSS/019.jpg,ALBATROSS,train
train/ALBATROSS/020.jpg,ALBATROSS,train
train/ALBATROSS/021.jpg,ALBATROSS,train
train/ALBATROSS/022.jpg,ALBATROSS,train
train/ALBATROSS/023.jpg,ALBATROSS,train
train/ALBATROSS/024.jpg,ALBATROSS,train
train/ALBATROSS/025.jpg,ALBATROSS,train
train/ALBATROSS/026.jpg,ALBATROSS,train
train/ALBATROSS/027.jpg,ALBATROSS,train
train/ALBATROSS/028.jpg,ALBATROSS,train
train/ALBATROSS/029.jpg,ALBATROSS,train
train/ALBATROSS/030.jpg,ALBATROSS,train
train/ALBATROSS/031.jpg,ALBATROSS,train
train/ALBATROSS/032.jpg,ALBATROSS,train
train/ALBATROSS/033.jpg,ALBATROSS,train
train/ALBATROSS/034.jpg,ALBATROSS,train
train/ALBATROSS/035.jpg,ALBATROSS,train
train/ALBATROSS/036.jpg,ALBATROSS,train
train/ALBATROSS/037.jpg,ALBATROSS,train
train/ALBATROSS/038.jpg,ALBATROSS,train
train/ALBATROSS/039.jpg,ALBATROSS,train
train/ALBATROSS/040.jpg,ALBATROSS,train
train/ALBATROSS/041.jpg,ALBATROSS,train
train/ALBATROSS/042.jpg,ALBATROSS,train
train/ALBATROSS/043.jpg,ALBATROSS,train
train/ALBATROSS/044.jpg,ALBATROSS,train
train/ALBATROSS/045.jpg,ALBATROSS,train
train/ALBATROSS/046.jpg,ALBATROSS,train
train/ALBATROSS/047.jpg,ALBATROSS,train
train/ALBATROSS/048.jpg,ALBATROSS,train
train/ALBATROSS/049.jpg,ALBATROSS,train
train/ALBATROSS/050.jpg,ALBATROSS,train
train/ALBATROSS/051.jpg,ALBATROSS,train
train/ALBATROSS/052.jpg,ALBATROSS,train
train/ALBATROSS/053.jpg,ALBATROSS,train
train/ALBATROSS/054.jpg,ALBATROSS,train
train/ALBATROSS/055.jpg,ALBATROSS,train
train/ALBATROSS/056.jpg,ALBATROSS,train
train/ALBATROSS/057.jpg,ALBATROSS,train
train/ALBATROSS/058.jpg,ALBATROSS,train
train/ALBATROSS/059.jpg,ALBATROSS,train
train/ALBATROSS/060.jpg,ALBATROSS,train
train/ALBATROSS/061.jpg,ALBATROSS,train
train/ALBATROSS/062.jpg,ALBATROSS,train
train/ALBATROSS/063.jpg,ALBATROSS,train
train/ALBATROSS/064.jpg,ALBATROSS,train
train/ALBATROSS/065.jpg,ALBATROSS,train
train/ALBATROSS/066.jpg,ALBATROSS,train
train/ALBATROSS/067.jpg,ALBATROSS,train
train/ALBATROSS/068.jpg,ALBATROSS,train
train/ALBATROSS/069.jpg,ALBATROSS,train
train/ALBATROSS/070.jpg,ALBATROSS,train
train/ALBATROSS/071.jpg,ALBATROSS,train
train/ALBATROSS/072.jpg,ALBATROSS,train
train/ALBATROSS/073.jpg,ALBATROSS,train
train/ALBATROSS/074.jpg,ALBATROSS,train
train/ALBATROSS/075.jpg,ALBATROSS,train
train/ALBATROSS/076.jpg,ALBATROSS,train
train/ALBATROSS/077.jpg,ALBATROSS,train
train/ALBATROSS/078.jpg,ALBATROSS,train
train/ALBATROSS/079.jpg,ALBATROSS,train
train/ALBATROSS/080.jpg,ALBATROSS,train
train/ALBATROSS/081.jpg,ALBATROSS,train
train/ALBATROSS/082.jpg,ALBATROSS,train
train/ALBATROSS/083.jpg,ALBATROSS,train
train/ALBATROSS/084.jpg,ALBATROSS,train
train/ALBATROSS/085.jpg,ALBATROSS,train
train/ALBATROSS/086.jpg,ALBATROSS,train
train/ALBATROSS/087.jpg,ALBATROSS,train
train/ALBATROSS/088.jpg,ALBATROSS,train
train/ALBATROSS/089.jpg,ALBATROSS,train
train/ALBATROSS/090.jpg,ALBATROSS,train
train/ALBATROSS/091.jpg,ALBATROSS,train
train/ALBATROSS/092.jpg,ALBATROSS,train
train/ALBATROSS/093.jpg,ALBATROSS,train
train/ALBATROSS/094.jpg,ALBATROSS,train
train/ALBATROSS/095.jpg,ALBATROSS,train
train/ALBATROSS/096.jpg,ALBATROSS,train
train/ALBATROSS/097.jpg,ALBATROSS,train
train/ALBATROSS/098.jpg,ALBATROSS,train
train/ALBATROSS/099.jpg,ALBATROSS,train
train/ALBATROSS/100.jpg,ALBATROSS,train
train/ALBATROSS/101.jpg,ALBATROSS,train
train/ALBATROSS/102.jpg,ALBATROSS,train
train/ALBATROSS/103.jpg,ALBATROSS,train
train/ALBATROSS/104.jpg,ALBATROSS,train
train/ALBATROSS/105.jpg,ALBATROSS,train
train/ALBATROSS/106.jpg,ALBATROSS,train
train/ALBATROSS/107.jpg,ALBATROSS,train
train/ALBATROSS/108.jpg,ALBATROSS,train
train/ALBATROSS/109.jpg,ALBATROSS,train
train/ALBATROSS/110.jpg,ALBATROSS,train
train/ALBATROSS/111.jpg,ALBATROSS,train
