class_index,class,height,width,scale by
80,COMMON LOON,224,224,1
81,COMMON POORWILL,224,224,1
82,COMMON STARLING,224,224,1
83,COUCHS KINGBIRD,224,224,1
84,CRESTED AUKLET,224,224,1
85,CRESTED CARACARA,224,224,1
86,CRESTED NUTHATCH,224,224,1
87,CRIMSON SUNBIRD,224,224,1
88,CROW,224,224,1
89,CROWNED PIGEON,224,224,1
90,CUBAN TODY,224,224,1
91,CUBAN TROGON,224,224,1
92,CURL CRESTED ARACURI,224,224,1
93,D-ARNAUDS BARBET,224,224,1
94,DARK EYED JUNCO,224,224,1
95,DOUBLE BARRED FINCH,224,224,1
96,DOUBLE BRESTED CORMARANT,224,224,1
97,DOWNY WOODPECKER,224,224,1
98,EASTERN BLUEBIRD,224,224,1
99,EASTERN MEADOWLARK,224,224,1
100,EASTERN ROSELLA,224,224,1
101,EASTERN TOWEE,224,224,1
102,ELEGANT TROGON,224,224,1
103,ELLIOTS  PHEASANT,224,224,1
104,EMPEROR PENGUIN,224,224,1
105,EMU,224,224,1
106,ENGGANO MYNA,224,224,1
107,EURASIAN GOLDEN ORIOLE,224,224,1
108,EURASIAN MAGPIE,224,224,1
109,EVENING GROSBEAK,224,224,1
110,FAIRY BLUEBIRD,224,224,1
111,FIRE TAILLED MYZORNIS,224,224,1
112,FLAME TANAGER,224,224,1
113,FLAMINGO,224,224,1
114,FRIGATE,224,224,1
115,GAMBELS QUAIL,224,224,1
116,GANG GANG COCKATOO,224,224,1
117,GILA WOODPECKER,224,224,1
118,GILDED FLICKER,224,224,1
119,GLOSSY IBIS,224,224,1
120,GO AWAY BIRD,224,224,1
121,GOLD WING WARBLER,224,224,1
122,GOLDEN CHEEKED WARBLER,224,224,1
123,GOLDEN CHLOROPHONIA,224,224,1
124,GOLDEN EAGLE,224,224,1
125,GOLDEN PHEASANT,224,224,1
126,GOLDEN PIPIT,224,224,1
127,GOULDIAN FINCH,224,224,1
128,GRAY CATBIRD,224,224,1
129,GRAY PARTRIDGE,224,224,1
130,GREAT POTOO,224,224,1
131,GREATOR SAGE GROUSE,224,224,1
132,GREEN BROADBILL,224,224,1
133,GREEN JAY,224,224,1
134,GREEN MAGPIE,224,224,1
135,GREY PLOVER,224,224,1
136,GUINEA TURACO,224,224,1
137,GUINEAFOWL,224,224,1
138,GYRFALCON,224,224,1
139,HARPY EAGLE,224,224,1
140,HAWAIIAN GOOSE,224,224,1
141,HELMET VANGA,224,224,1
142,HIMALAYAN MONAL,224,224,1
143,HOATZIN,224,224,1
144,HOODED MERGANSER,224,224,1
145,HOOPOES,224,224,1
146,HORNBILL,224,224,1
147,HORNED GUAN,224,224,1
148,HORNED LARK,224,224,1
149,HORNED SUNGEM,224,224,1
150,HOUSE FINCH,224,224,1
151,HOUSE SPARROW,224,224,1
152,IMPERIAL SHAQ,224,224,1
153,INCA TERN,224,224,1
154,INDIAN BUSTARD,224,224,1
155,INDIAN PITTA,224,224,1
156,INDIGO BUNTING,224,224,1
157,JABIRU,224,224,1
158,JAVA SPARROW,224,224,1
159,KAGU,224,224,1
160,KAKAPO,224,224,1
161,KILLDEAR,224,224,1
162,KING VULTURE,224,224,1
163,KIWI,224,224,1
164,KOOKABURRA,224,224,1
165,LARK BUNTING,224,224,1
166,LEARS MACAW,224,224,1
167,LILAC ROLLER,224,224,1
168,LONG-EARED OWL,224,224,1
169,MAGPIE GOOSE,224,224,1
170,MALABAR HORNBILL,224,224,1
171,MALACHITE KINGFISHER,224,224,1
172,MALAGASY WHITE EYE,224,224,1
173,MALEO,224,224,1
174,MALLARD DUCK,224,224,1
175,MANDRIN DUCK,224,224,1
176,MARABOU STORK,224,224,1
177,MASKED BOOBY,224,224,1
178,MASKED LAPWING,224,224,1
179,MIKADO  PHEASANT,224,224,1
180,MOURNING DOVE,224,224,1
181,MYNA,224,224,1
182,NICOBAR PIGEON,224,224,1
183,NOISY FRIARBIRD,224,224,1
184,NORTHERN BALD IBIS,224,224,1
185,NORTHERN CARDINAL,224,224,1
186,NORTHERN FLICKER,224,224,1
187,NORTHERN GANNET,224,224,1
188,NORTHERN GOSHAWK,224,224,1
189,NORTHERN JACANA,224,224,1
190,NORTHERN MOCKINGBIRD,224,224,1
191,NORTHERN PARULA,224,224,1
192,NORTHERN RED BISHOP,224,224,1
193,NORTHERN SHOVELER,224,224,1
194,OCELLATED TURKEY,224,224,1
195,OKINAWA RAIL,224,224,1
196,ORANGE BRESTED BUNTING,224,224,1
197,OSPREY,224,224,1
198,OSTRICH,224,224,1
199,OVENBIRD,224,224,1
200,OYSTER CATCHER,224,224,1
201,PAINTED BUNTIG,224,224,1
202,PALILA,224,224,1
203,PARADISE TANAGER,224,224,1
204,PARAKETT  AKULET,224,224,1
205,PARUS MAJOR,224,224,1
206,PEACOCK,224,224,1
207,PELICAN,224,224,1
208,PEREGRINE FALCON,224,224,1
209,PHILIPPINE EAGLE,224,224,1
210,PINK ROBIN,224,224,1
211,PUFFIN,224,224,1
212,PURPLE FINCH,224,224,1
213,PURPLE GALLINULE,224,224,1
214,PURPLE MARTIN,224,224,1
215,PURPLE SWAMPHEN,224,224,1
216,PYGMY KINGFISHER,224,224,1
217,QUETZAL,224,224,1
218,RAINBOW LORIKEET,224,224,1
219,RAZORBILL,224,224,1
220,RED BEARDED BEE EATER,224,224,1
221,RED BELLIED PITTA,224,224,1
222,RED BROWED FINCH,224,224,1
223,RED FACED CORMORANT,224,224,1
224,RED FACED WARBLER,224,224,1
225,RED HEADED DUCK,224,224,1
226,RED HEADED WOODPECKER,224,224,1
227,RED HONEY CREEPER,224,224,1
228,RED NAPED TROGON,224,224,1
229,RED TAILED HAWK,224,224,1
230,RED TAILED THRUSH,224,224,1
231,RED WINGED BLACKBIRD,224,224,1
232,RED WISKERED BULBUL,224,224,1
233,REGENT BOWERBIRD,224,224,1
234,RING-NECKED PHEASANT,224,224,1
235,ROADRUNNER,224,224,1
236,ROBIN,224,224,1
237,ROCK DOVE,224,224,1
238,ROSY FACED LOVEBIRD,224,224,1
239,ROUGH LEG BUZZARD,224,224,1
240,ROYAL FLYCATCHER,224,224,1
241,RUBY THROATED HUMMINGBIRD,224,224,1
242,RUDY KINGFISHER,224,224,1
243,RUFOUS KINGFISHER,224,224,1
244,RUFUOS MOTMOT,224,224,1
245,SAMATRAN THRUSH,224,224,1
246,SAND MARTIN,224,224,1
247,SANDHILL CRANE,224,224,1
248,SCARLET IBIS,224,224,1
249,SCARLET MACAW,224,224,1
250,SCARLET TANAGER,224,224,1
251,SHOEBILL,224,224,1
252,SHORT BILLED DOWITCHER,224,224,1
253,SMITHS LONGSPUR,224,224,1
254,SNOWY EGRET,224,224,1
255,SNOWY OWL,224,224,1
256,SORA,224,224,1
257,SPANGLED COTINGA,224,224,1
258,SPLENDID WREN,224,224,1
259,SPOON BILED SANDPIPER,224,224,1
260,SPOONBILL,224,224,1
261,SRI LANKA BLUE MAGPIE,224,224,1
262,STEAMER DUCK,224,224,1
263,STORK BILLED KINGFISHER,224,224,1
264,STRAWBERRY FINCH,224,224,1
265,STRIPPED MANAKIN,224,224,1
266,STRIPPED SWALLOW,224,224,1
267,SUPERB STARLING,224,224,1
268,SWINHOES PHEASANT,224,224,1
269,TAIWAN MAGPIE,224,224,1
270,TAKAHE,224,224,1
271,TASMANIAN HEN,224,224,1
272,TEAL DUCK,224,224,1
273,TIT MOUSE,224,224,1
274,TOUCHAN,224,224,1
275,TOWNSENDS WARBLER,224,224,1
276,TREE SWALLOW,224,224,1
277,TRUMPTER SWAN,224,224,1
278,TURKEY VULTURE,224,224,1
279,TURQUOISE MOTMOT,224,224,1
280,UMBRELLA BIRD,224,224,1
281,VARIED THRUSH,224,224,1
282,VENEZUELIAN TROUPIAL,224,224,1
283,VERMILION FLYCATHER,224,224,1
284,VICTORIA CROWNED PIGEON,224,224,1
285,VIOLET GREEN SWALLOW,224,224,1
286,VULTURINE GUINEAFOWL,224,224,1
287,WALL CREAPER,224,224,1
288,WATTLED CURASSOW,224,224,1
289,WHIMBREL,224,224,1
290,WHITE CHEEKED TURACO,224,224,1
291,WHITE NECKED RAVEN,224,224,1
292,WHITE TAILED TROPIC,224,224,1
293,WHITE THROATED BEE EATER,224,224,1
294,WILD TURKEY,224,224,1
295,WILSONS BIRD OF PARADISE,224,224,1
296,WOOD DUCK,224,224,1
297,YELLOW BELLIED FLOWERPECKER,224,224,1
298,YELLOW CACIQUE,224,224,1
299,YELLOW HEADED BLACKBIRD,224,224,1
